Filename,Transcription,Seed_Phrase,seed1,seed2,seed3,seed4,seed5,seed6,seed7,seed8,seed9,Context,Intent,WEM number,Thinking,Count
334124591.WEM,Base Out Of Range,"You have travelled beyond the limits of the legally claimed region of your base, build options will be limited.",,,,,,,,,,Navigation," you have traveled outside the legally claimed region boundaries of your base. This limits building options in the current area.  Outside the base, there are a only a handful of small portble items availabe to be constructed and placed.",334124591,Yes,2
436192208.WEM,Starship Signal Detected,"A starship has been detected, coordinates have been added to your navigation database.",,,,,,,,,,Navigation,Nearby starship signal registered that may be of interest to you; navigation coordinates updated should you wish to investigate.,436192208,Yes,3
545382948.WEM,Sigil Trait Module Located,"A module for Sigil Traits has been located, stand by for details.",,,,,,,,,,Navigation,A rare upgrade module relevant to Sigil Traits has been found; awaits your interaction.,545382948,Yes,2
705081998.wem,Anomoly detected,An Anomoly has been detected that may be worth investigation.,,,,,,,,,,Navigation,Notifies you of an unusual phenomenon detected nearby worth exploring.,705081998,Yes,2
906001973.WEM,Jumping,"Hyperspace jump is underway, perceptual distortion effects can be mitigated by adequate hydration.",,,,,,,,,,Navigation," The hyperspace jump is currently underway. Warp jumps between systems are equivalent to cut scenes (but no speaking lines), so filling the wait time with lengthy absurdly verbose humourous descriptive commentary about dizziness or nausea as a result of Visual or sensory distortions is absolutely encouraged.",906001973,Yes,2
906332741.WEM,Alert: Navigational Data Received,New data has been recieved and stored in your navigation database.,,,,,,,,,,Navigation,This alert notifies you that new navigational data has been received and stored in the navigation database.,906332741,,7
965460983.WEM,Out Of Range: Return To Base,"You are Out Of Range of your base, some actions will not be possible until you return.",,,,,,,,,,Navigation,you have moved outside of your base's functional area. Certain construction opportunities are disabled outside the base boundary.,965460983,Yes,2
64910055.WEM,Warning,"Your check engine light is on, which is odd, because biological entities do not have engines.",,,,,,,,,,Notification,A humorous warning suggesting you are acting irrationally or unsustainably.,64910055,Yes,2
178898599.WEM,Warning,You should strongly reconsider your decisions.,,,,,,,,,,Notification,"Advises you to rethink recent choices, implying negative consequences may follow if insist on continuing with current actions.",178898599,,2
205192151.WEM,Warning,This course of action is ill-advised,,,,,,,,,,Notification,Warns you that your actions are not recommended and may be dangerous or inefficient.,205192151,,2
225625917.WEM,Objective Complete,"Well done, your objective has been completed, You deserve a cookie!",,,,,,,,,,Notification,A mission or assigned task has been successfully completed. Message is acknowledging completion with lighthearted tone and suggestion of a food reward.,225625917,,2
284071635.WEM,New Assistant Acquired,A new recruit has joined your journey and you no longer qualify for the solo XP bonus.,,,,,,,,,,Notification,"A new assistant has joined your journey, disqualifying solo experience bonuses. There is no XP bonus, nor is there any XP system at all, this is just a humourous addition.",284071635,Yes,2
328948003.WEM,Warning,Failure to reconsider the decisions leading up to this point could result in a non-optimal outcome regarding your health and wellbeing.,,,,,,,,,,Notification,Implies that continued poor decisions could lead to your harm or disadvantage.,328948003,,2
582370014.WEM,Assistant Recruited,A new recruit has arrived to assist you on your journey.,,,,,,,,,,Notification,A new assistant or recruit has joined your team to provide support on your journey. Avoid personal pronouns.,582370014,Yes,2
599588736.WEM,Warning,Persisting in Current actions may result in a system bounty placed on your identity.,,,,,,,,,,Notification,Warns that your actions may attract unwelcome attention from local authorities.,599588736,,2
811360087.WEM,New Assistant Recruited,A new recruit has arrived and will immediately undertake unpleasant duties.,,,,,,,,,,Notification,A new assistant has been recruited and will immediately be directed to take on duties.,811360087,Yes,2
1003218333.WEM,Warning,Unspecified warning has been triggered.,,,,,,,,,,Notification,Generic cautionary message indicating a non-specific risk or alert has been activated.,1003218333,,2
1015651622.WEM,Warning,Continung this course of action will likely be counterproductive.,,,,,,,,,,Notification,Suggests that your current behavior may hinder progress or cause problems.,1015651622,,2
228408571.WEM,Warning,a tactical retreat is advised.,,,,,,,,,,Notification,Recommends you disengage and retreat from the current situation for safety or strategic advantage.,228408571,,2
72116738.wem,Sentinels Arrived,Hostile Sentinels have arrived at your location.,,,,,,,,,,Personal Combat,Alerts you that Sentinel enemy units have reached the current location and are preparing to attack you.,72116738,Yes,2
78601477.WEM,Warning: Sentinel Walker Detected,"A Hostile Sentinel Walker has been dropped to your position, arrival imminent.",,,,,,,,,,Personal Combat,"Warns of an hostile large-scale heavily armed and armoured Sentinel unit arriving, via being dropped from a ship in orbit.",78601477,Yes,2
90482995.WEM,Hostiles Approaching,"Hostile force is approaching, you are their target.",,,,,,,,,,Personal Combat,Hostile forces are approaching rapidly. The message is a blunt warning urging you to prepare for confrontation.,90482995,,2
486861530.WEM,Warning: Elite Sentinel Force,Unfriendly Elite Sentinels are on the way.,,,,,,,,,,Personal Combat,Alerts you that a high-level hostile Sentinel unit is approaching.,486861530,Yes,2
540684729.wem,Sentinel force deactivated,The local sentinel network has been rendered inoperable.,,,,,,,,,,Personal Combat,Hostile Sentinel network in the area is temporarily no longer active or functioning.,540684729,Yes,2
673620140.WEM,Warning: Sentinels Engaged,Hostile sentinels have been engaged.,,,,,,,,,,Personal Combat,Notifies you are actively in combat with hostile Sentinel units.,673620140,Yes,2
27999850.WEM,Shield Protection Falling,Your Shield is taking repeated damage.,,,,,,,,,,Personal Protection,"your shield is actively being degraded by continuous damage while attepting to keep you from harm. WHile this is exactly what the sheild is designed to do, a sustained barrage such as this will cause it to fail and expose you to danger.",27999850,,2
28276028.WEM,Life Support Critical,"Life support power is critically low, suit and systems shutdown is imminent",,,,,,,,,,Personal Protection," Life support power has dropped to critical levels, risking imminent shutdown of suit systems and equipment functions. The message warns of impending failure and your likelihood of demise if the situation is not addressed.",28276028,Yes,2
53870591.WEM,Radiation Protection Offline,Your  suit can no longer protect against radiation.,,,,,,,,,,Personal Protection,"The suit's radiation shielding has completely failed, you are now unable to mitigates the effects of radiation exposure. ",53870591,Yes,2
54980060.WEM,Radiation Protection Falling,Your  suit ability to prevent radiation damage is compromised,,,,,,,,,,Personal Protection,"The suit’s radiation shielding is degrading, leaving you increasingly vulnerable.",54980060,Yes,4
56102735.WEM,Danger: Critical Hypothermia,"Extreme cold has overwhelmed your life support, onset of hypothermia has begun.",,,,,,,,,,Personal Protection," Extreme cold conditions have overwhelmed your life support system, and hypothermia has begun, failure to address this may be fatal.",56102735,Yes,2
67834502.WEM,Shields Down,Your Shields are down.  Further damage taken will be life threatening.,,,,,,,,,,Personal Protection,Shields have failed entirely; you are vulnerable to health loss and system damage.,67834502,Yes,2
151182894.WEM,Toxic Protection Offline,"Toxic Protection Offline, it will take a long time for you to expire and it will be unpleasant the entire time it is happening.",,,,,,,,,,Personal Protection,Suit protection no longer blocks toxic exposure; severe and prolonged damage is expected.,151182894,Yes,2
258814940.WEM,Radiation Levels Critical,"You are accumulating radiation sickness symptoms at an alarming rate, failure to mitigate will result in fatal consequences.",,,,,,,,,,Personal Protection,"Radiation exposure has reached a critical threshold, continued exposure could prove fatal.",258814940,Yes,2
272020218.WEM,Shield Down,Your Shield energy has depleted and caused a full shut-down.,,,,,,,,,,Personal Protection,Shield systems are offline due to complete energy depletion. Defensive capability is lost.,272020218,,2
306112359.WEM,Damage Sustained,Small to moderate damage has been inflicted on your body.,,,,,,,,,,Personal Protection,your body has sustained small to moderate physical damage.,306112359,,2
335483997.WEM,Toxic Protection Stabilizing,"Toxic Protection module is Stabilizing, automatic filter purge underway.",,,,,,,,,,Personal Protection,Decontamination protocols activating; toxic shielding is regaining function.,335483997,Yes,4
394683190.WEM,Shield Down,"Your Shield has been breached and taken offline, avoiding damage can typically prevent this from happening.",,,,,,,,,,Personal Protection,your shield system has failed due to taking damage. the notification includes a sarcastic suggestion for preventing this from happening in the future.,394683190,,2
468585602.WEM,Shield Down,"Your Shield energy has been depleted, immediate energy cell recharge required.",,,,,,,,,,Personal Protection,Energy levels in the shield system are empty. Recharge is required.,468585602,,2
472945351.WEM,Radiation Protection Stabilizing,Your Radiation protection ability is recovering.,,,,,,,,,,Personal Protection,The suit’s radiation protection is returning to normal operational levels. Message indicates protection recovery.,472945351,Yes,2
498474774.WEM,Toxicity Levels Critical,"Suit breach, Toxic levels rising, fatal exposure imminent.",,,,,,,,,,Personal Protection,Toxic contamination has reached fatal levels; immediate safety action required.,498474774,Yes,2
512212065.WEM,Oxygen Levels Critical,Oxygen Levels are Critically low and your face is turning an alarming shade of blue.,,,,,,,,,,Personal Protection,"your oxygen supply is nearly depleted, implying immediate risk of suffocation. ",512212065,Yes,2
543874217.WEM,Danger: Heat Levels Critical,"Critical heat levels have bypassed your protections, high temperature levels are life-threatening.",,,,,,,,,,Personal Protection,"Critical heat levels have bypassed your protective systems, resulting in life-threatening high temperatures.",543874217,Yes,2
580370729.WEM,Extreme Heat Damage Detected,"Extreme Heat Damage Detected, failure to mitigate high temperatures may result in your becoming a crispy critter.",,,,,,,,,,Personal Protection," Extreme heat damage has been detected; failure to mitigate this will cause severe harm to you, possibly fatal. ",580370729,Yes,2
647699088.WEM,Extreme Heat: Critical,You are failing to mitigate extreme heat conditions and continued exposure will lead to complete carbonization.,,,,,,,,,,Personal Protection,you are currently unable to cope with critical heat conditions. Continued exposure will result in total failure or destruction of the suit and/or your (figuratively described as carbonization).,647699088,Yes,2
691940593.WEM,Shield Protection Stabilizing,"Your Sheild has stopped taking damage, your suit Systems are stabilizing, self repair systems engaged.",,,,,,,,,,Personal Protection,Suit systems recovering from recent damage; shield stabilization underway; safety state re-established.,691940593,Yes,2
768295468.WEM,Danger: Low Oxygen Levels,The suit is nearly out of breathable oxygen.,,,,,,,,,,Personal Protection,your suit is nearly depleted of breathable oxygen. This alert informs of critical oxygen shortage.,768295468,Yes,2
781094525.WEM,Danger: Shield Compromised,The suit kinetic protection field has failed and will no longer mitigate physical injury.,,,,,,,,,,Personal Protection,The suit’s kinetic protection field has failed and can no longer mitigate physical injury.,781094525,Yes,2
797567920.WEM,Toxic Protection Falling,The suit ability to prevent toxic damage has been compromised.,,,,,,,,,,Personal Protection,Toxic shielding is weakening; damage from environmental poisons will increase.,797567920,,13
808789373.WEM,Life Support Systems Activated,"Life Support Systems Active, user bio-signature is registered, may you have better luck with this suit than the previous user.",,,,,,,,,,Personal Protection," Life support systems have activated and registered your bio-signature. The message wishes success with the new suit in a neutral, professional tone. There is an implication that the suit has been used by a previous wearer who reached an untimely end.",808789373,Yes,3
825969836.WEM,Life Support Power Low,"Life support power has significantly depleted, failure to mitigate may result in your shutdown sequence.",,,,,,,,,,Personal Protection,Life support power is significantly depleted. Failure to take corrective action will result in your death (phrased here as your shutdown).,825969836,Yes,2
865668553.wem,Life support level falling,"Life support failing, recharge immediately to avoid fatal consequences.",,,,,,,,,,Personal Protection,Warns that life support power is dangerously low and must be restored to prevent death.,865668553,YesNo,2
871932351.WEM,Shield Down,"Critical damage taken to Your shields, protective capabilites are reduced to zero ",,,,,,,,,,Personal Protection,Critical incoming damage has destroyed all shield integrity. Message communicates total loss of defense.,871932351,,2
899320928.WEM,Thermal Protection Offline,Thermal Protection is no longer functional and you will be subjected to unpleasant extreme temperature effects.,,,,,,,,,,Personal Protection,Thermal defense has failed; further exposure to extreme environmental temperatures will affect your health.,899320928,Yes,2
943635243.WEM,Critical Damage Taken,Massive non-trivial damage has been inflicted on your body.,,,,,,,,,,Personal Protection,Significant physical damage has been inflicted on your body.,943635243,Yes,2
957514183.WEM,Danger: Radiation Breach,Shielding against radiation has overloaded and failed. Irreperable chromosonal damage is a possibility.,,,,,,,,,,Personal Protection," Radiation shielding has overloaded and failed, risking irreparable biological damage. ",957514183,Yes,2
968836370.WEM,Extreme Cold Damage Detected,You are taking serious damage from extreme cold.,,,,,,,,,,Personal Protection,you are sustaining serious damage due to exposure to extreme cold conditions. The alert should indicate severity and potential threat to life support.,968836370,Yes,2
973658086.WEM,Danger: Toxic Rain Breach,Life-threatening toxic elements have entered the suit.,,,,,,,,,,Personal Protection," Life-threatening toxic substances have breached the suit’s protective barriers, posing immediate danger to your health. The suit’s systems are actively trying to contain and warn about this toxic exposure.",973658086,Yes,2
1061736374.WEM,Life Support Offline,"Life support power is now offline, suit and systems are shutting down, your shutdown will proceed momentarily.",,,,,,,,,,Personal Protection," Life support systems are now offline, and suit systems are shutting down. the phrase ""your shutdown sequence"" implying your death as you are a biological entity. Reactivation will be very unlikely.",1061736374,Yes,2
1063828486.WEM,Toxic Damage Detected,"Toxic Damage Detected, likelyhood of nausea increasing.",,,,,,,,,,Personal Protection,Environmental toxins detected; exposure may cause physical side effects.,1063828486,Yes,2
28199458.WEM,Hostile System: Weapons Engaged,This star system is controlled by hostile forces. your spaceship has automatically enabled weapons in response.,,,,,,,,,,Starship Combat,"Hostile forces have initiated combat in the system, and your starship has activated it's own weapons automatially in in anticipation of your likely response to potential combat.",28199458,Yes,2
49616634.wem,Engaging Attack Ships,Attacking ships have been automatically tagged by your combat computer.,,,,,,,,,,Starship Combat,Attacking starships have been marked as valid weapon targets for you by the combat computer.,49616634,Yes,2
162710077.wem,Sentinel Starships Inbound,Sentinel starships are on an intercept course to your position.,,,,,,,,,,Starship Combat,Warns that hostile Sentinel starships are approaching to intercept you.,162710077,,2
205039265.WEM,New Bounty Available,There is a new bounty posted by the Mercenaries Guild.,,,,,,,,,,Starship Combat,A new bounty is available from the Mercenaries Guild to address a local threat.,205039265,Yes,2
310439562.WEM,Warning: Sentinel Interceptors Incoming,Sentinel air support forces are Incoming,,,,,,,,,,Starship Combat,Indicates that airborne Sentinel reinforcements are inbound to engage you.,310439562,Yes,2
472197709.WEM,Target Acquired,A target has been acquired by your weapon system.,,,,,,,,,,Starship Combat,A valid target is now being tracked by your starship combat computer.,472197709,,2
494454783.WEM,Pirate Ship At Large: Bounty Available,"A space-Pirate Ship is At Large in this system, a bounty has been declared by the local mercenaries guild.",,,,,,,,,,Starship Combat,A hostile target is roaming the system and has an active bounty. Message informs you of the high-value target.,494454783,Yes,2
510448383.WEM,Target Locked,Your Weapons have locked on to your target.,,,,,,,,,,Starship Combat,Target lock established; weapons ready to fire with high accuracy.,510448383,,2
514543818.WEM,Pirate Spotted: Bounty Available,"Nearby Pirate activity detected, Signature matches that of a local posted bounty.",,,,,,,,,,Starship Combat,"Pirate activity has been detected near you, with a confirmed bounty match. ",514543818,Yes,2
594696652.wem,Sentinel ships in combat range,Sentinel ships are within your weapons range.,,,,,,,,,,Starship Combat,Alerts that hostile Sentinel ships are close enough to engage with weapons.,594696652,Yes,2
797446331.WEM,Hostile System: Engage Weapons,"This star system is under control of hostiles, prepare for immediate combat.",,,,,,,,,,Starship Combat," The star system is under hostile control, and weapons systems must be engaged immediately as the occupiers have detected you and are already responding. The message instructs you to prepare for combat.",797446331,Yes,2
984473045.WEM,Warning: Hostile System,"This star system is under hostile control, occupiers are intolerant of trespassers.",,,,,,,,,,Starship Combat,Notifies you that you are in a hostile-controlled star system where enemies will likely attack.,984473045,Yes,2
13628945.wem,Atmospheric interference,Planetary Atmosphere is interfering with your Maneuver.,,,,,,,,,,Starship Movement,"a zero-gravity Maneuver is being attempted, however you are within the limits of a planetary atmosphere.  Safety protocols have been engaged to prevent widespread damage to the local environment,  requiring repositioning beyond the planet's atmosphere before attempting again.",13628945,Yes,2
137307545.wem,Station Proximity,"You are too close to the space station, Relocate immediately.",,,,,,,,,,Starship Movement,"proximity to the space station is preventing certain starship functions, requiring immediate relocation before attempting again.",137307545,,2
197643865.WEM,Pulse Drive Engaged,"Pulse Drive Engaged, turbulence is expected.",,,,,,,,,,Starship Movement,your ship has activated its pulse drive for rapid travel within the solar system.,197643865,Yes,2
294741566.wem,Local enemy disruption,"Hostile forces are using a Pulse Disrupter, you are limited to standard flight speeds.",,,,,,,,,,Starship Movement,"Indicates that enemy interference is disabling faster flight options, restricting your speed.",294741566,Yes,2
375834098.wem,Landing sequence initiated,Attempting to land the spaceship safely.,,,,,,,,,,Starship Movement,Indicates that the landing procedure has started and the ship is descending for touchdown.,375834098,Yes,2
393574373.wem,Planetary interference,"You are too close to the planet, relocate before retrying the manouever.",,,,,,,,,,Starship Movement,Warns you to increase distance from the planet before attempting a maneuver again due to atmospheric interference.,393574373,,2
422143449.WEM,Landing Area Not Clear,"Landing Area Not Clear, that means you can't land there, try somewhere else.",,,,,,,,,,Starship Movement,The designated landing area is obstructed or unsafe for landing. you must find an alternative safe location.,422143449,Yes,2
469963216.WEM,Initiating Landing Sequence,Guidance computer is taking over for an automated landing sequence.,,,,,,,,,,Starship Movement,The guidance computer has assumed control to perform an automated landing sequence.,469963216,Yes,2
556538925.wem,Large ship proximity,"You are too close to a major gravitational source,  Relocate to open space and try again.",,,,,,,,,,Starship Movement,Warns you that proximity to a large ship or gravity well is unsafe for the current starship action.,556538925,Yes,2
629992665.wem,Atmospheric interference,Atmospheric interference is preventing you from taking that action.  Relocate to empty void and try again.,,,,,,,,,,Starship Movement,"atmospheric conditions are obstructing your attempted starship manouver, suggesting relocation outside the plnaet's atmosphere before trying again.",629992665,Yes,2
769872372.wem,Large ship proximity,That action is triggereng the emergency stop protocol due to gravity well proximity,,,,,,,,,,Starship Movement,Notifies that the attempted action is prevented by proximity to a large ship's gravity well.,769872372,,2
824079454.wem,Space station proximity,"The laws of physics have denied your request, Relocate before making another attempt at that manouevre.",,,,,,,,,,Starship Movement,Informs you that physical constraints prevent their action due to being too close to a space station.,824079454,Yes,2
460766259.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
487346738.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
61285078.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
836418899.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
862236259.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
946171572.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
998327261.wem,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
752301356.WEM,*random autophage*,*random autophage*,,,,,,,,,,REFERENCE,"UNUSED AT THIS TIME, LEAVE WEM NUMBER BLANK",,,
