WEM number,Original,Seed,Reworded,Model_Seed,Model
865668553,Life support level falling,"Life support failing, recharge immediately to avoid fatal consequences.",Life support system experiencing severe issues. Immediate action is required to restore critical functions before potential catastrophic outcomes.,9488117,qwen2.5:0.5b
871932351,Shield Down,"Critical damage has been sustained by your shields, protective capabilites are reduced to zero.","Critical damage has been inflicted on your shields, reducing their protective capabilities.",5122056,qwen2.5:0.5b
899320928,Thermal Protection Offline,Thermal protection is no longer functional and you will be subjected to unpleasant extreme temperature effects.,"The thermal protection system has malfunctioned, and you are now exposed to harsh and potentially dangerous extreme environmental conditions.",1694688,qwen2.5:0.5b
943635243,Critical Damage Taken,Massive non-trivial damage has been inflicted on your body.,Massive non-trivial damage has been inflicted on You's body.,9770407,qwen2.5:0.5b
957514183,Danger: Radiation Breach,Shielding against radiation has overloaded and failed. Irreperable chromosonal damage is a possibility.,"Radiation shielding has become unstable and overburdened, posing a risk of irreparable genetic damage.",8375170,qwen2.5:0.5b
968836370,Extreme Cold Damage Detected,You are taking serious damage from extreme cold.,You are experiencing severe physical discomfort from extremely cold weather.,2843014,qwen2.5:0.5b
973658086,Danger: Toxic Rain Breach,Life-threatening toxic elements have entered the suit.,"Life-threatening toxins have infiltrated the suit's protective mechanisms, resulting in immediate health risks. The suit is currently implementing measures to mitigate this exposure.",899947,qwen2.5:0.5b
1061736374,Life Support Offline,"Life support power is now offline, suit and systems are shutting down, your shutdown will proceed momentarily.","Life support systems are now offline, and suit systems are shutting down. Regaining consciousness will be very unlikely.",6784018,qwen2.5:0.5b
1063828486,Toxic Damage Detected,"Toxic Damage Detected, likelyhood of nausea increasing.",Environmental toxins detected. Exposure to these substances is likely to cause nausea.,1410046,qwen2.5:0.5b
28199458,Hostile System: Weapons Engaged,This star system is controlled by hostile forces. your spaceship has automatically enabled weapons in response.,This star system is under the control of hostile forces. Your ship has automatically activated its own defensive measures.,1178841,qwen2.5:0.5b
49616634,Engaging Attack Ships,Attacking ships have been automatically tagged by your combat computer.,Attacking starships are now marked as valid weapon targets for you.,3121382,qwen2.5:0.5b
162710077,Sentinel Starships Inbound,Sentinel starships are on an intercept course to your position.,The hostile starships are about to approach and attempt to intercept you.,4024051,qwen2.5:0.5b
205039265,New Bounty Available,There is a new bounty posted by the mercenaries guild.,"A new bounty has been announced by the Mercenaries Guild, offering assistance in addressing a local threat.",8723910,qwen2.5:0.5b
310439562,Warning: Sentinel Interceptors Incoming,Sentinel air support forces are Incoming,"Airborne Sentinel reinforcements are arriving, and we need your assistance.",8575672,qwen2.5:0.5b
472197709,Target Acquired,A target has been acquired by your weapon system.,A valid target is now being tracked by the starship combat computer.,248535,qwen2.5:0.5b
494454783,Pirate Ship At Large: Bounty Available,"A space-pirate ship is at large in this system, a bounty has been declared by the local mercenaries guild.",A hostile alien vessel is prowling this solar system and an active bounty has been placed on it by the local authorities.,6080744,qwen2.5:0.5b
510448383,Target Locked,Your weapons have locked on to your target.,Your weapons are now fully equipped and ready for firing.,999264,qwen2.5:0.5b
514543818,Pirate Spotted: Bounty Available,"Nearby pirate activity detected, signature matches that of a local posted bounty.","Nearby pirate activity detected, with a confirmed bounty match from a local post.",8609176,qwen2.5:0.5b
594696652,Sentinel ships in combat range,Sentinel ships are within your weapons range.,The hostile sentinels are so close that they can be easily engaged by our weapons.,9768448,qwen2.5:0.5b
797446331,Hostile System: Engage Weapons,"This star system is under control of hostiles, prepare for immediate combat.","This star system is under hostile control, and weapons systems must be engaged immediately to prevent further escalation.",122716,qwen2.5:0.5b
984473045,Warning: Hostile System,"This star system is under hostile control, occupiers are intolerant of trespassers.","This star system is under hostile control, with occupants who are intolerant of trespassers.",6881046,qwen2.5:0.5b
13628945,Atmospheric interference,Planetary atmosphere is interfering with your Maneuver.,"A zero-gravity maneuver is being attempted, but you are within the limits of a planetary atmosphere. Safety protocols have been engaged to prevent widespread damage to the local environment, requiring repositioning beyond the planet's atmosphere before attempting again.",5321080,qwen2.5:0.5b
137307545,Station Proximity,"You are too close to the space station, relocate immediately.","You are too close to the space station, relocate now.",6577105,qwen2.5:0.5b
197643865,Pulse Drive Engaged,"Pulse drive engaged, turbulence is expected.","Your ship's pulse drive is now active, and a strong wind of turbulence is forecasted.",5372588,qwen2.5:0.5b
294741566,Local enemy disruption,"Hostile forces are using a pulse disrupter, you are limited to standard flight speeds.","Enemy interference is preventing You from accessing faster flight options, slowing down Your speed.",5596949,qwen2.5:0.5b
375834098,Landing sequence initiated,Attempting to land the spaceship safely.,"The landing procedure has commenced, and the spacecraft is about to make its descent for a smooth touchdown.",3157321,qwen2.5:0.5b
393574373,Planetary interference,"You are too close to the planet, relocate before retrying the manouever.",You are too close to the planet; move further away and try again.,8683397,qwen2.5:0.5b
422143449,Landing Area Not Clear,"Landing area not clear, you cannot land there.","Landing area not clear, that means you can't land there, try somewhere else.",594542,qwen2.5:0.5b
469963216,Initiating Landing Sequence,Guidance computer is taking over for an automated landing sequence.,The guidance computer is now assuming control of the automated landing sequence.,5087702,qwen2.5:0.5b
556538925,Large ship proximity,"You are too close to a major gravitational source, Relocate to open space and try again.","You are too close to a massive gravitational field, relocate to a safe location and try again.",3977125,qwen2.5:0.5b
629992665,Atmospheric interference,Atmospheric interference is preventing you from taking that action. Relocate to empty void and try again.,The atmospheric disturbances are hindering your attempt at maneuvering the starship. Move to an unoccupied area and make another attempt.,9623637,qwen2.5:0.5b
769872372,Large ship proximity,That action is triggereng the emergency stop protocol due to gravity well proximity.,That action is triggering the emergency stop protocol because of proximity to the large ship's gravity well.,4439782,qwen2.5:0.5b
824079454,Space station proximity,"The laws of physics have denied your request, Relocate before making another attempt at that manouevre.",The laws of physics have prevented you from moving further. Relocate now.,5951783,qwen2.5:0.5b
